ticker,mentions,Upvotes,Total Comments,Change (1d),date
ASX,1,3,1,0.0,2025-07-30
ATHS,1,76,76,0.0,2025-07-30
ATYR,1,9,15,0.0,2025-07-30
AU,2,5,2,100.0,2025-07-30
BA,2,291,70,100.0,2025-07-30
BBAI,1,3,7,0.0,2025-07-30
BE,1,1,1,0.0,2025-07-30
BIO,3,51,28,200.0,2025-07-30
BKNG,1,289,64,0.0,2025-07-30
BNGO,1,1,3,0.0,2025-07-30
BR,1,0,3,0.0,2025-07-30
BRO,2,12,20,100.0,2025-07-30
BROS,1,102,36,0.0,2025-07-30
BTU,1,7,1,0.0,2025-07-30
BV,1,7,7,0.0,2025-07-30
CAPS,1,37,3,0.0,2025-07-30
CARS,1,217,38,0.0,2025-07-30
CC,1,8,24,0.0,2025-07-30
CCS,1,8,24,0.0,2025-07-30
CELC,1,14,12,0.0,2025-07-30
CELH,1,1,1,0.0,2025-07-30
CHSN,3,176,162,200.0,2025-07-30
CLOV,1,2127,236,0.0,2025-07-30
CRSP,1,13,12,0.0,2025-07-30
CVNA,1,1,1,0.0,2025-07-30
CZR,1,36,39,0.0,2025-07-30
DEC,1,38,22,0.0,2025-07-30
DEVS,1,3,1,0.0,2025-07-30
DOCN,1,294,115,0.0,2025-07-30
DRRX,1,11,15,0.0,2025-07-30
DTC,2,167,54,100.0,2025-07-30
DYNX,1,14,12,0.0,2025-07-30
DYNXW,1,14,12,0.0,2025-07-30
ELV,1,115,172,0.0,2025-07-30
EMA,1,29,59,0.0,2025-07-30
EOD,1,118,57,0.0,2025-07-30
EQS,1,2,1,0.0,2025-07-30
ESP,1,55,88,0.0,2025-07-30
ET,2,3,7,100.0,2025-07-30
EXPO,1,1,1,0.0,2025-07-30
FLWS,1,15,9,0.0,2025-07-30
FUBO,2,155,47,100.0,2025-07-30
GF,1,0,3,0.0,2025-07-30
GIBO,6,149,229,500.0,2025-07-30
GLXY,2,183,130,100.0,2025-07-30
GOOGL,2,1293,400,100.0,2025-07-30
GRAB,1,3,5,0.0,2025-07-30
GRO,1,1,1,0.0,2025-07-30
GTI,1,4,47,0.0,2025-07-30
HCTI,5,100,60,400.0,2025-07-30
HL,1,14,11,0.0,2025-07-30
HOOD,3,607,252,200.0,2025-07-30
HUBS,1,510,212,0.0,2025-07-30
IBKR,2,28,6,100.0,2025-07-30
IBRX,1,28,15,0.0,2025-07-30
ICU,1,17,12,0.0,2025-07-30
IMG,1,13,23,0.0,2025-07-30
IMO,1,33,47,0.0,2025-07-30
INTC,1,479,101,0.0,2025-07-30
IONQ,1,621,244,0.0,2025-07-30
IOVA,1,46,24,0.0,2025-07-30
IP,2,2,4,100.0,2025-07-30
IR,2,43,36,100.0,2025-07-30
IX,2,46,20,100.0,2025-07-30
IXHL,3,71,27,200.0,2025-07-30
KR,1,51,11,0.0,2025-07-30
KSS,3,675,137,200.0,2025-07-30
LB,1,510,212,0.0,2025-07-30
LCID,2,9,7,100.0,2025-07-30
LGPS,1,14,12,0.0,2025-07-30
LIDR,1,14,12,0.0,2025-07-30
LYRA,1,44,19,0.0,2025-07-30
MBOT,1,28,30,0.0,2025-07-30
MBRX,1,2,2,0.0,2025-07-30
META,2,290,65,100.0,2025-07-30
MP,2,6917,762,100.0,2025-07-30
MSFT,1,1,1,0.0,2025-07-30
MSTR,1,37,18,0.0,2025-07-30
MULN,1,0,29,0.0,2025-07-30
MVIS,1,11,5,0.0,2025-07-30
MVST,1,15,8,0.0,2025-07-30
NCNA,2,56,40,100.0,2025-07-30
NEGG,2,23,26,100.0,2025-07-30
NEHC,1,9,5,0.0,2025-07-30
NIO,1,2,1,0.0,2025-07-30
NPV,1,510,212,0.0,2025-07-30
NVDA,3,109,53,200.0,2025-07-30
NVNI,2,52,43,100.0,2025-07-30
NVO,2,990,391,100.0,2025-07-30
NVTS,1,14,12,0.0,2025-07-30
OI,3,1002,248,200.0,2025-07-30
OLB,2,54,66,100.0,2025-07-30
OP,1,1,40,0.0,2025-07-30
OPEN,3,1677,333,200.0,2025-07-30
OPTT,1,0,34,0.0,2025-07-30
OZ,3,3,10,200.0,2025-07-30
PB,1,0,34,0.0,2025-07-30
PD,1,6,8,0.0,2025-07-30
PEW,2,272,174,100.0,2025-07-30
PFS,1,510,212,0.0,2025-07-30
PFSA,1,17,24,0.0,2025-07-30
PG,1,2,6,0.0,2025-07-30
PLTR,4,3402,930,300.0,2025-07-30
PM,1,0,1,0.0,2025-07-30
PR,5,51,64,400.0,2025-07-30
PSTV,1,25,18,0.0,2025-07-30
PYPL,1,2,6,0.0,2025-07-30
QCOM,1,1,1,0.0,2025-07-30
QS,1,129,34,0.0,2025-07-30
RADX,1,3,1,0.0,2025-07-30
RC,1,2,1,0.0,2025-07-30
RCAT,1,0,34,0.0,2025-07-30
RDDT,4,387,226,300.0,2025-07-30
RF,1,0,1,0.0,2025-07-30
RGEN,1,13,23,0.0,2025-07-30
RH,1,3872,696,0.0,2025-07-30
RIME,1,2,6,0.0,2025-07-30
RIVN,2,38,42,100.0,2025-07-30
RKT,3,167,43,300.0,2025-07-30
ROKU,1,289,64,0.0,2025-07-30
RR,1,13,3,0.0,2025-07-30
RS,5,1137,288,400.0,2025-07-30
RSI,2,409,212,100.0,2025-07-30
SBET,2,219,83,100.0,2025-07-30
SCD,1,17,12,0.0,2025-07-30
SEZL,1,0,8,0.0,2025-07-30
SMCI,2,316,78,100.0,2025-07-30
SNTI,1,1,3,0.0,2025-07-30
SOFI,4,2418,431,300.0,2025-07-30
SOUN,3,84,62,200.0,2025-07-30
SOWG,1,7,7,0.0,2025-07-30
SPOT,2,1406,343,100.0,2025-07-30
SRPT,5,171,171,400.0,2025-07-30
SST,1,9,1,0.0,2025-07-30
STAI,2,15,12,100.0,2025-07-30
STR,1,36,39,0.0,2025-07-30
SU,1,6630,386,0.0,2025-07-30
THC,1,6,17,0.0,2025-07-30
TLRY,1,98,61,0.0,2025-07-30
TNFA,1,14,8,0.0,2025-07-30
TSLA,7,515,148,600.0,2025-07-30
UBER,2,5,6,100.0,2025-07-30
UBS,1,1,1,0.0,2025-07-30
UNH,5,949,597,400.0,2025-07-30
UPS,2,3,40,100.0,2025-07-30
USAS,1,2,1,0.0,2025-07-30
UUUU,3,6919,768,200.0,2025-07-30
VAPE,1,7,11,0.0,2025-07-30
VENU,1,149,43,0.0,2025-07-30
VGZ,1,3,1,0.0,2025-07-30
VWAV,1,0,1,0.0,2025-07-30
WEN,1,190,69,0.0,2025-07-30
WKSP,1,21,5,0.0,2025-07-30
WLGS,1,116,92,0.0,2025-07-30
WT,1,7,1,0.0,2025-07-30
YHC,3,44,63,200.0,2025-07-30
ABNB,1,402,223,0.0,2025-07-30
AC,1,0,5,0.0,2025-07-30
ADAP,4,15,11,300.0,2025-07-30
ADIL,2,62,25,100.0,2025-07-30
ADP,1,1,4,0.0,2025-07-30
AGI,1,47,32,0.0,2025-07-30
AIN,1,25,7,0.0,2025-07-30
AIRE,1,1,1,0.0,2025-07-30
AMD,7,9395,728,600.0,2025-07-30
AMZN,1,292,64,0.0,2025-07-30
ANVS,1,4,8,0.0,2025-07-30
APPS,1,17,12,0.0,2025-07-30
AREN,5,199,138,400.0,2025-07-30
ARM,1,1,4,0.0,2025-07-30
ASBP,1,1,2,0.0,2025-07-30
ASML,1,97,16,0.0,2025-07-30
ASPI,2,1,11,100.0,2025-07-30
ASTS,1,19,22,0.0,2025-07-30
ASX,1,4,1,0.0,2025-07-30
ATHS,1,75,76,0.0,2025-07-30
ATYR,1,11,17,0.0,2025-07-30
AU,2,6,2,100.0,2025-07-30
BA,2,293,70,100.0,2025-07-30
BBAI,1,5,7,0.0,2025-07-30
BE,1,1,4,0.0,2025-07-30
BGLC,1,1,1,0.0,2025-07-30
BIO,3,47,30,200.0,2025-07-30
BKNG,1,292,64,0.0,2025-07-30
BNGO,1,2,3,0.0,2025-07-30
BRO,2,13,22,100.0,2025-07-30
BROS,1,105,36,0.0,2025-07-30
BSGM,1,1,1,0.0,2025-07-30
BV,1,6,7,0.0,2025-07-30
CAN,1,22,5,0.0,2025-07-30
CARS,1,217,38,0.0,2025-07-30
CC,2,10,45,100.0,2025-07-30
CCS,1,10,30,0.0,2025-07-30
CELC,1,17,12,0.0,2025-07-30
CELH,1,1,4,0.0,2025-07-30
CHSN,3,185,171,200.0,2025-07-30
CLOV,1,2156,240,0.0,2025-07-30
CRSP,1,16,12,0.0,2025-07-30
CV,1,10,1,0.0,2025-07-30
CVNA,1,1,2,0.0,2025-07-30
CZR,1,37,46,0.0,2025-07-30
DEC,1,33,22,0.0,2025-07-30
DEVS,1,3,1,0.0,2025-07-30
DNA,1,1,1,0.0,2025-07-30
DOCN,1,294,117,0.0,2025-07-30
DTC,3,165,56,200.0,2025-07-30
DTE,1,3,2,0.0,2025-07-30
DYNX,1,17,12,0.0,2025-07-30
DYNXW,1,17,12,0.0,2025-07-30
EOD,1,162,123,0.0,2025-07-30
ESP,1,53,91,0.0,2025-07-30
ET,2,2,10,100.0,2025-07-30
EXPO,1,1,1,0.0,2025-07-30
FLWS,1,15,9,0.0,2025-07-30
FUBO,2,199,76,100.0,2025-07-30
GIBO,6,157,261,500.0,2025-07-30
GLXY,2,184,134,100.0,2025-07-30
GOOGL,2,1373,436,100.0,2025-07-30
GRAB,1,1,5,0.0,2025-07-30
GTI,1,77,91,0.0,2025-07-30
HCTI,4,91,58,300.0,2025-07-30
HIMS,1,19,8,0.0,2025-07-30
HL,1,14,11,0.0,2025-07-30
HOOD,3,695,291,200.0,2025-07-30
HR,1,10,1,0.0,2025-07-30
IBKR,4,32,12,300.0,2025-07-30
ICU,1,19,22,0.0,2025-07-30
IMG,1,13,24,0.0,2025-07-30
IMO,3,60,69,200.0,2025-07-30
INR,1,1,1,0.0,2025-07-30
INTS,1,0,7,0.0,2025-07-30
IONQ,1,667,264,0.0,2025-07-30
IOVA,1,44,31,0.0,2025-07-30
IP,1,2,3,0.0,2025-07-30
IR,3,47,49,200.0,2025-07-30
IX,1,42,20,0.0,2025-07-30
IXHL,3,80,41,200.0,2025-07-30
KR,1,49,11,0.0,2025-07-30
KSS,3,666,137,200.0,2025-07-30
LCID,1,10,6,0.0,2025-07-30
LGPS,1,17,12,0.0,2025-07-30
LIDR,1,17,12,0.0,2025-07-30
LYRA,1,42,20,0.0,2025-07-30
MBOT,1,36,35,0.0,2025-07-30
MBRX,1,3,2,0.0,2025-07-30
META,2,293,68,100.0,2025-07-30
MSFT,1,1,4,0.0,2025-07-30
MSTR,1,41,18,0.0,2025-07-30
MVIS,1,13,5,0.0,2025-07-30
MVST,1,20,10,0.0,2025-07-30
NC,1,2,2,0.0,2025-07-30
NCNA,2,54,51,100.0,2025-07-30
NEGG,2,23,38,100.0,2025-07-30
NVDA,4,138,64,300.0,2025-07-30
NVNI,2,49,44,100.0,2025-07-30
NVO,2,1014,403,100.0,2025-07-30
NVTS,1,17,12,0.0,2025-07-30
OI,3,1000,249,200.0,2025-07-30
OLB,2,55,66,100.0,2025-07-30
OP,2,3,49,100.0,2025-07-30
OPEN,3,1670,335,200.0,2025-07-30
OPTT,1,0,34,0.0,2025-07-30
OZ,3,4,12,200.0,2025-07-30
PB,1,0,34,0.0,2025-07-30
PD,1,4,8,0.0,2025-07-30
PEW,2,275,175,100.0,2025-07-30
PFSA,1,17,26,0.0,2025-07-30
PG,1,1,6,0.0,2025-07-30
PLTR,3,2314,300,200.0,2025-07-30
PM,4,45,29,300.0,2025-07-30
PR,5,50,68,400.0,2025-07-30
PSTV,1,24,18,0.0,2025-07-30
PT,1,12,4,0.0,2025-07-30
PYPL,1,1,6,0.0,2025-07-30
QCOM,1,1,4,0.0,2025-07-30
QS,1,132,37,0.0,2025-07-30
RADX,1,4,1,0.0,2025-07-30
RC,1,2,1,0.0,2025-07-30
RCAT,1,0,34,0.0,2025-07-30
RDDT,4,472,265,300.0,2025-07-30
RF,1,0,1,0.0,2025-07-30
RGEN,1,13,24,0.0,2025-07-30
RH,1,4309,737,0.0,2025-07-30
RIME,1,2,6,0.0,2025-07-30
RIVN,1,35,44,0.0,2025-07-30
RKLB,1,0,2,0.0,2025-07-30
RKT,3,165,43,300.0,2025-07-30
ROKU,1,292,64,0.0,2025-07-30
RR,3,42,11,200.0,2025-07-30
RS,5,1140,302,400.0,2025-07-30
RSI,3,430,224,200.0,2025-07-30
RTO,1,2,2,0.0,2025-07-30
RYAN,1,2,1,0.0,2025-07-30
SBET,2,219,86,100.0,2025-07-30
SCD,1,19,22,0.0,2025-07-30
SEZL,1,0,8,0.0,2025-07-30
SMCI,2,314,78,100.0,2025-07-30
SNTI,1,2,3,0.0,2025-07-30
SOFI,5,2508,442,400.0,2025-07-30
SONM,1,2,2,0.0,2025-07-30
SOUN,3,84,63,200.0,2025-07-30
SOWG,1,6,7,0.0,2025-07-30
SPOT,3,1488,383,200.0,2025-07-30
SRPT,5,220,196,400.0,2025-07-30
SST,1,11,1,0.0,2025-07-30
STAI,2,15,12,100.0,2025-07-30
STR,1,37,46,0.0,2025-07-30
SU,2,6700,390,100.0,2025-07-30
THC,1,4,18,0.0,2025-07-30
TLRY,1,102,61,0.0,2025-07-30
TNFA,1,13,9,0.0,2025-07-30
TSLA,5,247,103,400.0,2025-07-30
UBER,1,1,5,0.0,2025-07-30
UBS,2,5,10,100.0,2025-07-30
UI,1,2,1,0.0,2025-07-30
UNH,4,866,447,300.0,2025-07-30
UP,1,4,6,0.0,2025-07-30
UPS,2,3,40,100.0,2025-07-30
UUUU,1,1,6,0.0,2025-07-30
VAPE,1,8,11,0.0,2025-07-30
VC,1,10,1,0.0,2025-07-30
VENU,1,157,48,0.0,2025-07-30
VFC,1,12,4,0.0,2025-07-30
VGZ,1,3,1,0.0,2025-07-30
VWAV,1,0,1,0.0,2025-07-30
WEN,1,189,69,0.0,2025-07-30
WKSP,1,20,5,0.0,2025-07-30
WLGS,1,115,92,0.0,2025-07-30
YHC,2,33,41,100.0,2025-07-30
ABNB,1,405,223,0.0,2025-07-30
AC,1,0,5,0.0,2025-07-30
ADAP,4,17,11,300.0,2025-07-30
ADIL,2,59,25,100.0,2025-07-30
ADP,1,1,4,0.0,2025-07-30
AGI,1,51,32,0.0,2025-07-30
AIN,1,24,7,0.0,2025-07-30
AIRE,1,1,1,0.0,2025-07-30
AMD,7,9378,728,600.0,2025-07-30
AMZN,1,294,64,0.0,2025-07-30
ANVS,1,6,8,0.0,2025-07-30
APPS,1,16,12,0.0,2025-07-30
AREN,5,204,138,400.0,2025-07-30
ARM,1,1,4,0.0,2025-07-30
ASBP,1,1,2,0.0,2025-07-30
ASML,1,97,16,0.0,2025-07-30
ASPI,2,2,11,100.0,2025-07-30
ASTS,1,18,22,0.0,2025-07-30
ASX,1,4,1,0.0,2025-07-30
ATHS,1,79,76,0.0,2025-07-30
ATYR,1,12,17,0.0,2025-07-30
AU,2,6,2,100.0,2025-07-30
BA,2,296,70,100.0,2025-07-30
BBAI,1,6,7,0.0,2025-07-30
BE,1,1,4,0.0,2025-07-30
BGLC,1,1,1,0.0,2025-07-30
BIO,3,47,30,200.0,2025-07-30
BKNG,1,294,64,0.0,2025-07-30
BNGO,1,2,3,0.0,2025-07-30
BRO,2,15,22,100.0,2025-07-30
BROS,1,102,36,0.0,2025-07-30
BSGM,1,1,1,0.0,2025-07-30
BV,1,7,7,0.0,2025-07-30
CAN,1,23,5,0.0,2025-07-30
CARS,1,223,38,0.0,2025-07-30
CC,2,8,45,100.0,2025-07-30
CCS,1,8,30,0.0,2025-07-30
CELC,1,16,12,0.0,2025-07-30
CELH,1,1,4,0.0,2025-07-30
CHSN,3,187,171,200.0,2025-07-30
CLOV,1,2147,240,0.0,2025-07-30
CRSP,1,15,12,0.0,2025-07-30
CV,1,9,1,0.0,2025-07-30
CVNA,1,1,2,0.0,2025-07-30
CZR,1,33,46,0.0,2025-07-30
DEC,1,35,22,0.0,2025-07-30
DEVS,1,3,1,0.0,2025-07-30
DNA,1,1,1,0.0,2025-07-30
DOCN,1,296,117,0.0,2025-07-30
DTC,3,168,56,200.0,2025-07-30
DTE,1,4,2,0.0,2025-07-30
DYNX,1,16,12,0.0,2025-07-30
DYNXW,1,16,12,0.0,2025-07-30
EOD,1,164,123,0.0,2025-07-30
ESP,1,54,91,0.0,2025-07-30
ET,2,3,10,100.0,2025-07-30
EXPO,1,1,1,0.0,2025-07-30
FLWS,1,14,9,0.0,2025-07-30
FUBO,2,195,76,100.0,2025-07-30
GIBO,6,157,261,500.0,2025-07-30
GLXY,2,185,134,100.0,2025-07-30
GOOGL,2,1376,436,100.0,2025-07-30
GRAB,1,2,5,0.0,2025-07-30
GTI,1,74,91,0.0,2025-07-30
HCTI,4,93,58,300.0,2025-07-30
HIMS,1,18,8,0.0,2025-07-30
HL,1,14,11,0.0,2025-07-30
HOOD,3,700,291,200.0,2025-07-30
HR,1,9,1,0.0,2025-07-30
IBKR,4,34,12,300.0,2025-07-30
ICU,1,18,22,0.0,2025-07-30
IMG,1,10,24,0.0,2025-07-30
IMO,3,62,69,200.0,2025-07-30
INR,1,1,1,0.0,2025-07-30
INTS,1,1,7,0.0,2025-07-30
IONQ,1,671,264,0.0,2025-07-30
IOVA,1,43,31,0.0,2025-07-30
IP,1,2,3,0.0,2025-07-30
IR,3,47,49,200.0,2025-07-30
IX,1,40,20,0.0,2025-07-30
IXHL,3,78,41,200.0,2025-07-30
KR,1,50,11,0.0,2025-07-30
KSS,3,672,137,200.0,2025-07-30
LCID,1,9,6,0.0,2025-07-30
LGPS,1,16,12,0.0,2025-07-30
LIDR,1,16,12,0.0,2025-07-30
LYRA,1,40,20,0.0,2025-07-30
MBOT,1,39,35,0.0,2025-07-30
MBRX,1,3,2,0.0,2025-07-30
META,2,295,68,100.0,2025-07-30
MSFT,1,1,4,0.0,2025-07-30
MSTR,1,41,18,0.0,2025-07-30
MVIS,1,12,5,0.0,2025-07-30
MVST,1,20,10,0.0,2025-07-30
NC,1,2,2,0.0,2025-07-30
NCNA,2,56,51,100.0,2025-07-30
NEGG,2,23,38,100.0,2025-07-30
NVDA,4,138,64,300.0,2025-07-30
NVNI,2,49,44,100.0,2025-07-30
NVO,2,1014,403,100.0,2025-07-30
NVTS,1,16,12,0.0,2025-07-30
OI,3,996,249,200.0,2025-07-30
OLB,2,55,66,100.0,2025-07-30
OP,2,5,49,100.0,2025-07-30
OPEN,3,1680,335,200.0,2025-07-30
OPTT,1,0,34,0.0,2025-07-30
OZ,3,5,12,200.0,2025-07-30
PB,1,0,34,0.0,2025-07-30
PD,1,6,8,0.0,2025-07-30
PEW,2,276,175,100.0,2025-07-30
PFSA,1,16,26,0.0,2025-07-30
PG,1,2,6,0.0,2025-07-30
PLTR,3,2303,300,200.0,2025-07-30
PM,4,43,29,300.0,2025-07-30
PR,5,49,68,400.0,2025-07-30
PSTV,1,24,18,0.0,2025-07-30
PT,1,13,4,0.0,2025-07-30
PYPL,1,2,6,0.0,2025-07-30
QCOM,1,1,4,0.0,2025-07-30
QS,1,131,37,0.0,2025-07-30
RADX,1,4,1,0.0,2025-07-30
RC,1,2,1,0.0,2025-07-30
RCAT,1,0,34,0.0,2025-07-30
RDDT,4,477,265,300.0,2025-07-30
RF,1,0,1,0.0,2025-07-30
RGEN,1,10,24,0.0,2025-07-30
RH,1,4308,737,0.0,2025-07-30
RIME,1,2,6,0.0,2025-07-30
RIVN,1,40,44,0.0,2025-07-30
RKLB,1,0,2,0.0,2025-07-30
RKT,3,165,43,300.0,2025-07-30
ROKU,1,294,64,0.0,2025-07-30
RR,3,40,11,200.0,2025-07-30
RS,5,1141,302,400.0,2025-07-30
RSI,3,425,224,200.0,2025-07-30
RTO,1,2,2,0.0,2025-07-30
RYAN,1,2,1,0.0,2025-07-30
SBET,2,218,86,100.0,2025-07-30
SCD,1,18,22,0.0,2025-07-30
SEZL,1,0,8,0.0,2025-07-30
SMCI,2,306,78,100.0,2025-07-30
SNTI,1,2,3,0.0,2025-07-30
SOFI,5,2512,442,400.0,2025-07-30
SONM,1,2,2,0.0,2025-07-30
SOUN,3,84,63,200.0,2025-07-30
SOWG,1,7,7,0.0,2025-07-30
